VEHICLE_ID,YEAR,MAKE,MODEL
4010340,2010,SUBARU,OUTBACK 3.6R PREM. VDC
4010349,2012,SUBARU,OUTBACK 3.6R PREM. VDC
4010350,2013,SUBARU,OUTBACK 3.6R PREM. VDC
4010355,2011,SUBARU,OUTBACK 3.6R PREM. VDC
4010423,2011,SUBARU,OUTBACK 3.6R LTD VDC
4010425,2013,SUBARU,OUTBACK 3.6R LTD VDC
4010434,2010,SUBARU,OUTBACK 3.6R LTD VDC
4010436,2012,SUBARU,OUTBACK 3.6R LTD VDC
4010534,2011,SUBARU,OUTBACK 3.6R LTD VDC NAVI
4010535,2013,SUBARU,OUTBACK 3.6R LTD VDC NAVI
4010536,2010,SUBARU,OUTBACK 3.6R LTD VDC NAVI
4010621,2014,SUBARU,OUTBACK W/ EYESIGHT 3.6R LTD VDC NAVI
4010627,2013,SUBARU,OUTBACK WITH EYESIGHT 3.6R LTD VDC
4010646,2013,SUBARU,OUTBACK WITH EYESIGHT 3.6R LTD VDC NAVI
4010671,2013,SUBARU,OUTBACK 2.5I VDC
4010672,2012,SUBARU,OUTBACK 2.5I VDC
4010673,2011,SUBARU,OUTBACK 2.5I VDC
4010679,2010,SUBARU,OUTBACK 2.5I VDC
4010844,2013,SUBARU,OUTBACK 3.6R TOUR VDC NAVI
4010935,2015,SUBARU,OUTBACK 2.5I PREM. VDC
4011052,2016,SUBARU,OUTBACK W/ EYESIGHT 2.5I PREMIUM VDC
4011108,2015,SUBARU,OUTBACK W/ EYESIGHT 2.5I PREMIUM VDC NA
4011109,2016,SUBARU,OUTBACK W/ EYESIGHT 2.5I PREMIUM VDC NA
4011155,2015,SUBARU,OUTBACK 2.5I LTD VDC
4011214,2015,SUBARU,OUTBACK 2.5I LTD VDC NAVI
4011256,2015,SUBARU,OUTBACK W/ EYESIGHT 2.5I LTD VDC NAVI
4011702,2015,SUBARU,OUTBACK 3.6R LTD VDC
4011731,2015,SUBARU,OUTBACK 3.6R LTD VDC NAVI
4011746,2016,SUBARU,OUTBACK W/ EYESIGHT 3.6R LTD VDC NAVI
4012228,2014,SUBARU,IMPREZA 2.0I LTD VDC
4012231,2013,SUBARU,IMPREZA 2.0I PREM. VDC
4012234,2012,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4012269,2012,SUBARU,FORESTER 2.5X TOUR VDC
4012270,2014,SUBARU,FORESTER 2.5I LTD VDC
4012685,2010,SUBARU,B9 TRIBECA 3.6 5-PASS
4012687,2010,SUBARU,B9 TRIBECA 3.6 LTD 5-PASS
4012690,2010,SUBARU,B9 TRIBECA 3.6 LTD 5-PASS NAVI
4012695,2013,SUBARU,B9 TRIBECA 3.6R LTD VDC
4012696,2012,SUBARU,B9 TRIBECA 3.6R PREM. VDC
4012697,2011,SUBARU,B9 TRIBECA 3.6R PREM. VDC
4012709,2010,SUBARU,B9 TRIBECA 3.6R PREM. VDC
4012727,2011,SUBARU,B9 TRIBECA 3.6R LTD/TOUR VDC
4012731,2012,SUBARU,B9 TRIBECA 3.6R LTD/TOUR VDC
4012733,2010,SUBARU,B9 TRIBECA 3.6R LTD/TOUR VDC
4012737,2014,SUBARU,B9 TRIBECA 3.6R LTD VDC NAVI
4012783,2012,SUBARU,B9 TRIBECA 3.6R LTD/TOUR VDC NAV
4012784,2013,SUBARU,B9 TRIBECA 3.6R LTD VDC NAVI
4012785,2010,SUBARU,B9 TRIBECA 3.6R LTD/TOUR VDC NAV
4012786,2011,SUBARU,B9 TRIBECA 3.6R LTD/TOUR VDC NAV
4012817,2010,SUBARU,B9 TRIBECA 3.6R LTD VDC
4012818,2012,SUBARU,B9 TRIBECA 3.6R TOUR VDC
4013369,2011,SUBARU,FORESTER 2.5X VDC PREM. PKG
4013370,2014,SUBARU,FORESTER 2.5I VDC
4013524,2010,SUBARU,IMPREZA 2.5I VDC
4013525,2011,SUBARU,IMPREZA 2.5I VDC
4013531,2010,SUBARU,IMPREZA 2.5I PREM. VDC NAVI
4013532,2011,SUBARU,IMPREZA 2.5I PREM. VDC NAVI
4013633,2010,SUBARU,IMPREZA 2.5I VDC
4013634,2011,SUBARU,IMPREZA 2.5I VDC
4013636,2011,SUBARU,IMPREZA 2.5I PREM. VDC NAVI
4013637,2010,SUBARU,IMPREZA 2.5I PREM. VDC NAVI
4013641,2010,SUBARU,IMPREZA OUTBACK SPT VDC
4013644,2011,SUBARU,IMPREZA OUTBACK SPT VDC
4013650,2010,SUBARU,IMPREZA WRX VDC PREM. PKG NAVI
4013652,2015,SUBARU,IMPREZA 2.0I VDC
4013661,2012,SUBARU,IMPREZA 2.0I VDC
4013662,2013,SUBARU,IMPREZA 2.0I VDC
4013663,2014,SUBARU,IMPREZA 2.0I VDC
4013665,2016,SUBARU,IMPREZA 2.0I VDC
4013670,2014,SUBARU,IMPREZA 2.0I PREM. VDC
4013674,2012,SUBARU,IMPREZA 2.0I PREM. VDC
4013675,2013,SUBARU,IMPREZA 2.0I PREM. VDC
4013686,2015,SUBARU,IMPREZA 2.0I PREM. VDC
4013697,2014,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4013698,2013,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4013699,2012,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4013705,2014,SUBARU,IMPREZA 2.0I LTD VDC
4013706,2012,SUBARU,IMPREZA 2.0I LTD VDC
4013707,2013,SUBARU,IMPREZA 2.0I LTD VDC
4013715,2012,SUBARU,IMPREZA 2.0I LTD VDC NAVI
4013716,2013,SUBARU,IMPREZA 2.0I LTD VDC NAVI
4013719,2015,SUBARU,IMPREZA 2.0I LTD VDC
4013725,2016,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC NAVI
4013727,2015,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC NAVI
4013737,2013,SUBARU,IMPREZA 2.0I VDC
4013744,2014,SUBARU,IMPREZA 2.0I VDC
4013751,2012,SUBARU,IMPREZA 2.0I VDC
4013754,2015,SUBARU,IMPREZA 2.0I VDC
4013755,2016,SUBARU,IMPREZA 2.0I VDC
4013756,2013,SUBARU,IMPREZA 2.0I PREM. VDC
4013757,2016,SUBARU,IMPREZA 2.0I PREM. VDC
4013759,2012,SUBARU,IMPREZA 2.0I PREM. VDC
4013766,2014,SUBARU,IMPREZA 2.0I PREM. VDC
4013775,2015,SUBARU,IMPREZA 2.0I PREM. VDC
4013793,2014,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4013794,2012,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4013795,2013,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4013797,2014,SUBARU,IMPREZA 2.0I LTD VDC
4013798,2013,SUBARU,IMPREZA 2.0I LTD VDC
4013805,2012,SUBARU,IMPREZA 2.0I LTD VDC
4013807,2013,SUBARU,IMPREZA 2.0I LTD VDC NAVI
4013808,2012,SUBARU,IMPREZA 2.0I LTD VDC NAVI
4013810,2014,SUBARU,IMPREZA 2.0I SPORT PREM. VDC
4013814,2013,SUBARU,IMPREZA 2.0I SPORT PREM. VDC
4013821,2012,SUBARU,IMPREZA 2.0I SPORT PREM. VDC
4013827,2015,SUBARU,IMPREZA 2.0I LTD VDC
4013829,2016,SUBARU,IMPREZA 2.0I SPORT PREM. VDC
4013832,2013,SUBARU,IMPREZA 2.0I SPORT LTD VDC
4013833,2014,SUBARU,IMPREZA 2.0I SPORT LTD VDC
4013834,2012,SUBARU,IMPREZA 2.0I SPORT LTD VDC
4013843,2016,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT PREMIUM
4013846,2015,SUBARU,IMPREZA 2.0I SPORT PREM. VDC
4013851,2014,SUBARU,IMPREZA 2.0I SPT LTD VDC NAV
4013853,2013,SUBARU,IMPREZA 2.0I SPT LTD VDC NAV
4013857,2012,SUBARU,IMPREZA 2.0I SPT LTD VDC NAV
4013864,2015,SUBARU,IMPREZA 2.0I SPORT LTD VDC
4013869,2015,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT PREMIUM
4013870,2016,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT LTD VDC
4013880,2013,SUBARU,IMPREZA WRX VDC/PREMIUM/LTD
4013882,2011,SUBARU,IMPREZA WRX VDC/PREMIUM/LTD
4013883,2012,SUBARU,IMPREZA WRX VDC/PREMIUM/LTD
4013885,2014,SUBARU,IMPREZA WRX VDC/PREMIUM/LTD
4013890,2010,SUBARU,IMPREZA WRX STI
4013891,2011,SUBARU,IMPREZA WRX STI
4013892,2012,SUBARU,IMPREZA WRX STI
4013893,2013,SUBARU,IMPREZA WRX STI
4013896,2013,SUBARU,IMPREZA WRX VDC/LTD
4013900,2012,SUBARU,IMPREZA WRX VDC/LTD
4013902,2014,SUBARU,IMPREZA WRX VDC/LTD
4013910,2011,SUBARU,IMPREZA WRX VDC/PREM/LTD
4013911,2012,SUBARU,IMPREZA WRX VDC/PREMIUM/LTD
4013912,2013,SUBARU,IMPREZA WRX VDC/PREMIUM/LTD
4013913,2014,SUBARU,IMPREZA WRX VDC/PREM/LTD
4013916,2011,SUBARU,IMPREZA WRX STI/STI LTD
4013917,2012,SUBARU,IMPREZA WRX STI/STI LTD
4013918,2013,SUBARU,IMPREZA WRX STI/STI LTD
4013919,2014,SUBARU,IMPREZA WRX STI/STI LTD
4014075,2010,SUBARU,FORESTER 2.5X LTD VDC
4022660,2010,SUBARU,FORESTER 2.5XT VDC
4022663,2011,SUBARU,FORESTER 2.5XT TOUR VDC
4024366,2010,SUBARU,IMPREZA SPT
4024369,2011,SUBARU,IMPREZA SPT
4024459,2011,SUBARU,IMPREZA 2.5GT VDC
4024467,2010,SUBARU,IMPREZA 2.5GT VDC
4026161,2010,SUBARU,IMPREZA SPT
4026293,2010,SUBARU,IMPREZA 2.5GT VDC
4026313,2012,SUBARU,IMPREZA 2.0I VDC
4026314,2013,SUBARU,IMPREZA 2.0I VDC
4026318,2016,SUBARU,IMPREZA 2.0I VDC
4026482,2012,SUBARU,IMPREZA 2.0I PREM. VDC
4026494,2013,SUBARU,IMPREZA 2.0I PREM. VDC
4026521,2015,SUBARU,IMPREZA 2.0I PREM. VDC
4026679,2013,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4026684,2012,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4026723,2012,SUBARU,IMPREZA 2.0I LTD VDC
4026726,2013,SUBARU,IMPREZA 2.0I LTD VDC
4026793,2013,SUBARU,IMPREZA 2.0I LTD VDC NAVI
4026794,2014,SUBARU,IMPREZA 2.0I LTD VDC NAVI
4026828,2016,SUBARU,IMPREZA 2.0I LTD VDC
4026846,2015,SUBARU,IMPREZA 2.0I LTD VDC
4026859,2016,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC NAVI
4027307,2013,SUBARU,IMPREZA 2.0I VDC
4027310,2012,SUBARU,IMPREZA 2.0I VDC
4027314,2014,SUBARU,IMPREZA 2.0I VDC
4027352,2015,SUBARU,IMPREZA 2.0I VDC
4027453,2012,SUBARU,IMPREZA 2.0I PREM. VDC
4027504,2015,SUBARU,IMPREZA 2.0I PREM. VDC
4027703,2014,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4027704,2013,SUBARU,IMPREZA 2.0I PREM. VDC NAVI
4027736,2012,SUBARU,IMPREZA 2.0I LTD VDC
4027814,2016,SUBARU,IMPREZA 2.0I LTD VDC
4027836,2012,SUBARU,IMPREZA 2.0I LTD VDC NAVI
4027846,2014,SUBARU,IMPREZA 2.0I SPORT PREM. VDC
4027852,2013,SUBARU,IMPREZA 2.0I SPORT PREM. VDC
4027856,2012,SUBARU,IMPREZA 2.0I SPORT PREM. VDC
4027954,2015,SUBARU,IMPREZA 2.0I LTD VDC
4028003,2014,SUBARU,IMPREZA 2.0I SPORT LTD VDC
4028004,2013,SUBARU,IMPREZA 2.0I SPORT LTD VDC
4028007,2012,SUBARU,IMPREZA 2.0I SPORT LTD VDC
4028073,2016,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT PREMIUM
4028150,2013,SUBARU,IMPREZA 2.0I SPT LTD VDC NAV
4028163,2014,SUBARU,IMPREZA 2.0I SPT LTD VDC NAV
4028175,2012,SUBARU,IMPREZA 2.0I SPT LTD VDC NAV
4028204,2015,SUBARU,IMPREZA 2.0I SPORT LTD VDC
4028220,2015,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT PREMIUM
4028223,2016,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT LTD VDC
4028416,2010,SUBARU,IMPREZA WRX STI
4031545,2010,SUBARU,FORESTER 2.5XT VDC
4031549,2013,SUBARU,FORESTER 2.5X VDC
4031550,2011,SUBARU,FORESTER 2.5X VDC
4031554,2013,SUBARU,FORESTER 2.5X VDC PREM. PKG
4031556,2012,SUBARU,FORESTER 2.5X VDC PREM. PKG
4031559,2012,SUBARU,FORESTER 2.5X LTD VDC
4031563,2011,SUBARU,FORESTER 2.5X TOUR VDC
4031571,2011,SUBARU,FORESTER 2.5XT PREM. VDC
4031572,2011,SUBARU,FORESTER 2.5XT TOUR VDC
4031576,2015,SUBARU,FORESTER 2.5I VDC
4031582,2015,SUBARU,FORESTER 2.5I LTD VDC
4031585,2016,SUBARU,FORESTER WITH EYESIGHT 2.5I LTD VDC NAV
