,VEHICLE_ID,CREDIT_SCORE,MALE,FEMALE,AGE
13306,7473300,755.6666666666666,2,1,32.0
13307,7475624,839.3333333333334,1,2,31.0
13308,7476648,813.75,25,23,50.645833333333336
13309,7477524,744.25,1,3,58.0
13310,7477584,831.2,3,2,36.4
13311,7479164,776.75,13,15,41.785714285714285
13312,7481089,835.5454545454545,6,5,56.81818181818182
13313,7482152,847.0,2,1,61.0
13314,7487014,791.9090909090909,9,2,37.0
13315,7488183,728.2348484848485,65,67,39.22727272727273
13316,7489693,802.0,3,1,42.5
13317,7493520,694.6666666666666,5,4,34.333333333333336
13318,7495614,813.3571428571429,33,51,54.30952380952381
13319,7498969,739.3636363636364,14,30,35.86363636363637
13320,7501947,831.6666666666666,1,2,54.0
13321,7505307,748.8,2,3,43.6
13322,7506902,844.9090909090909,5,6,45.0
13323,7509323,767.0,4,5,35.111111111111114
13324,7510957,847.0,1,1,30.5
13325,7401826,790.6666666666666,1,2,33.333333333333336
13326,7518919,824.0,3,1,38.5
13327,7519619,847.0,1,1,48.0
13328,7432197,847.0,1,1,43.5
13329,7462498,799.3333333333334,14,19,44.60606060606061
13330,7195300,744.8,3,2,33.8
13331,7195886,754.8823529411765,6,11,41.529411764705884
13332,7201362,773.52,10,15,37.16
13333,7208869,732.25,4,8,34.25
13334,7247450,760.0,1,2,49.333333333333336
13335,7259689,738.05,9,11,43.85
13336,7260306,829.4,2,3,40.4
13337,7262537,765.4144144144144,63,48,40.72072072072072
13338,7272142,778.5,2,2,34.25
13339,7318868,716.4666666666667,7,8,39.06666666666667
13340,7340777,756.4166666666666,4,8,36.666666666666664
13341,7341023,757.3333333333334,7,5,37.916666666666664
13342,7344708,710.0,1,2,58.666666666666664
13343,7359873,817.0,10,8,50.72222222222222
13344,7396295,794.4444444444445,6,3,50.0
13345,7396361,776.2823129251701,128,166,41.04081632653061
13346,7400762,787.0496894409938,101,60,42.63975155279503
13347,7400837,787.3333333333334,3,3,38.5
13348,7403347,732.8333333333334,1,5,34.0
13349,7404242,758.4545454545455,7,4,34.36363636363637
13350,7413501,700.2222222222222,4,5,33.111111111111114
13351,7423733,847.0,2,1,35.333333333333336
13352,7426464,787.52,17,8,51.88
13353,7426479,787.1818181818181,10,12,39.18181818181818
13354,7426481,769.1290322580645,14,17,51.516129032258064
13355,7431105,833.8333333333334,3,3,44.0
13356,7434966,847.0,3,2,54.0
13357,7455507,796.8,10,20,44.4
13358,7456710,811.0,8,4,41.333333333333336
13359,7458022,697.6666666666666,2,1,52.666666666666664
13360,7464214,818.4347826086956,17,6,46.26086956521739
13361,7465252,773.2,3,7,56.5
13362,7466710,689.5,2,2,47.0
13363,7467746,840.1,6,4,46.3
13364,7479002,811.0,1,1,73.5
13365,7480181,847.0,2,1,39.0
13366,7481081,754.2333333333333,21,9,58.1
13367,7486853,828.3,9,11,40.6
13368,7486891,812.75,2,2,54.0
13369,7487484,818.8333333333334,2,4,31.833333333333332
13370,7496319,783.75,3,1,27.75
13371,7498166,824.0,1,1,26.0
13372,7498185,842.4,9,11,40.65
13373,7505003,710.0,1,1,37.0
13374,7514188,847.0,2,1,46.666666666666664
13375,7514281,839.3333333333334,3,3,37.0
13376,7516146,710.0,1,2,26.666666666666668
13377,7523538,710.0,1,1,72.0
13378,7192830,737.3333333333334,13,11,35.166666666666664
13379,7197738,817.4166666666666,7,5,40.083333333333336
13380,7198577,757.1724137931035,15,14,39.241379310344826
13381,7198950,637.7857142857143,5,9,36.714285714285715
13382,7199281,710.0,1,1,32.5
13383,7293333,847.0,2,1,50.666666666666664
13384,7296660,710.0,1,2,31.666666666666668
13385,7299553,770.6078431372549,12,39,43.470588235294116
13386,7321836,735.8833333333333,28,32,43.166666666666664
13387,7345798,856.3333333333334,1,2,31.666666666666668
13388,7347136,829.0,1,1,50.0
13389,7393773,750.0,2,1,39.0
13390,7396403,808.75,7,9,40.1875
13391,7396510,708.702380952381,29,55,37.63095238095238
13392,7397368,718.5882352941177,29,22,52.76470588235294
13393,7397791,736.1904761904761,21,21,44.357142857142854
13394,7398874,790.4736842105264,6,13,35.578947368421055
13395,7400068,773.8333333333334,4,2,32.666666666666664
13396,7401291,839.3333333333334,2,1,31.0
13397,7406039,829.0,3,1,60.5
13398,7408596,847.0,1,3,30.25
13399,7416360,710.0,1,2,54.333333333333336
13400,7416487,739.5588235294117,9,25,33.76470588235294
13401,7421292,780.1811023622047,66,61,37.90551181102362
13402,7422526,847.0,1,1,55.5
13403,7426388,714.8823529411765,14,3,42.470588235294116
13404,7434923,702.5,2,2,41.75
13405,7448685,705.1,4,6,28.8
13406,7451331,532.0,1,1,26.5
13407,7455979,772.2142857142857,9,19,53.07142857142857
13408,7458018,838.2222222222222,5,4,42.0
13409,7459317,768.12,10,15,43.28
13410,7459900,721.1666666666666,2,4,42.5
13411,7462795,847.0,2,3,47.8
13412,7463868,756.6,2,3,50.6
13413,7464043,813.9090909090909,4,7,40.72727272727273
13414,7471649,750.625,11,13,38.333333333333336
13415,7477215,803.3928571428571,16,12,33.67857142857143
13416,7481964,847.0,2,1,36.666666666666664
13417,7483784,784.0,2,3,71.2
13418,7485247,724.0,3,2,28.0
13419,7487355,716.2352941176471,10,7,32.94117647058823
13420,7492170,837.1428571428571,6,1,32.857142857142854
13421,7492730,726.8333333333334,4,2,35.0
13422,7498035,479.0,1,1,46.0
13423,7498288,748.223880597015,39,28,38.38805970149254
13424,7502811,804.56,30,20,39.72
13425,7509345,847.0,2,1,57.333333333333336
13426,7510872,808.8333333333334,5,1,30.5
13427,7520788,824.0,1,1,33.5
13428,7534340,621.0,1,1,27.5
13429,7465250,716.8571428571429,2,5,41.42857142857143
13430,7192717,728.7945205479452,52,94,35.465753424657535
13431,7194898,812.2307692307693,24,15,40.333333333333336
13432,7194900,763.5,3,1,46.0
13433,7194942,780.0,16,9,40.52
13434,7195295,836.2142857142857,10,18,49.392857142857146
13435,7198913,748.125,8,8,33.3125
13436,7199301,742.4909090909091,24,31,41.163636363636364
13437,7200545,674.6,3,7,36.6
13438,7237581,726.3333333333334,4,5,51.44444444444444
13439,7260303,719.7741935483871,9,22,41.806451612903224
13440,7261601,754.2222222222222,12,15,36.074074074074076
13441,7262039,549.0,1,2,32.666666666666664
13442,7296101,761.4444444444445,6,3,43.55555555555556
13443,7298184,749.5217391304348,9,14,36.08695652173913
13444,7299759,745.3913043478261,15,31,36.391304347826086
13445,7302868,730.4166666666666,8,16,37.583333333333336
13446,7308871,775.2631578947369,9,10,41.05263157894737
13447,7319318,796.9090909090909,7,4,42.63636363636363
13448,7325177,767.5,3,1,32.25
13449,7325379,813.0,5,6,37.81818181818182
13450,7331386,847.0,2,1,41.0
13451,7340112,822.75,3,1,36.5
13452,7346474,727.6666666666666,4,2,58.5
13453,7347099,673.6666666666666,12,6,35.0
13454,7355871,771.2083333333334,23,25,42.9375
13455,7361000,777.5555555555555,5,4,34.44444444444444
13456,7397859,708.8421052631579,6,13,40.94736842105263
13457,7398832,829.0,1,1,28.0
13458,7399261,701.2894736842105,29,47,42.973684210526315
13459,7403576,691.847619047619,41,64,42.94285714285714
13460,7408624,847.0,4,2,32.333333333333336
13461,7409525,769.5,1,3,27.75
13462,7412932,710.0,1,1,32.0
13463,7417115,758.4,2,3,41.8
13464,7427913,679.6666666666666,16,17,39.333333333333336
13465,7433225,689.5,1,1,41.0
13466,7448485,729.2380952380952,10,11,29.571428571428573
13467,7459030,769.7320574162679,88,121,48.038277511961724
13468,7459056,778.5357142857143,17,11,46.92857142857143
13469,7460498,683.6,2,3,39.6
13470,7464615,810.5,2,4,54.5
13471,7466628,833.2,5,5,36.7
13472,7475334,832.875,5,3,42.875
13473,7484734,781.0882352941177,24,44,40.0
13474,7485384,782.3333333333334,2,1,28.666666666666668
13475,7485945,792.0357142857143,14,14,46.92857142857143
13476,7492597,814.6666666666666,2,1,50.0
13477,7495280,784.6176470588235,12,22,44.411764705882355
13478,7495439,814.25,5,3,47.25
13479,7495526,828.4444444444445,4,5,30.11111111111111
13480,7495887,845.8333333333334,5,1,42.666666666666664
13481,7497182,839.4705882352941,11,6,38.23529411764706
13482,7497909,723.5443548387096,106,142,39.20161290322581
13483,7513284,768.1954022988506,56,31,36.333333333333336
13484,7516703,792.78125,14,18,44.0625
13485,7521407,824.0,1,2,36.333333333333336
13486,7522023,753.8484848484849,16,17,45.90909090909091
13487,7522701,847.0,1,2,38.333333333333336
13488,7485943,765.5454545454545,6,5,48.45454545454545
13489,7531019,800.6296296296297,14,13,32.7037037037037
13490,7541498,800.48,16,9,30.68
13491,7194689,808.0,5,12,42.88235294117647
13492,7194871,765.2307692307693,13,13,46.19230769230769
13493,7199304,748.6666666666666,1,2,45.333333333333336
13494,7209045,811.0,1,1,57.0
13495,7259546,651.3333333333334,1,2,35.666666666666664
13496,7261839,701.25,4,4,48.125
13497,7262043,741.6666666666666,2,4,40.0
13498,7266703,744.9004524886877,94,127,45.7737556561086
13499,7289722,795.3333333333334,3,3,43.5
13500,7318626,760.5,1,1,38.5
13501,7318776,685.76,12,13,48.36
13502,7318883,686.0,5,5,32.0
13503,7327058,824.0,1,1,49.5
13504,7340781,760.2307692307693,13,13,36.30769230769231
13505,7341138,847.0,2,2,30.5
13506,7346918,782.0,1,4,60.6
13507,7365499,772.0,1,1,31.0
13508,7374409,739.25,7,13,48.65
13509,7397582,819.6666666666666,1,2,37.0
13510,7403579,767.9,9,11,37.15
13511,7404270,771.2592592592592,8,19,42.44444444444444
13512,7409312,841.25,1,3,43.5
13513,7426469,656.2692307692307,9,17,38.92307692307692
13514,7427916,692.2352941176471,9,8,35.8235294117647
13515,7430985,847.0,1,1,29.0
13516,7431272,790.75,6,2,67.5
13517,7453043,747.6666666666666,2,1,29.666666666666668
13518,7455491,758.0,3,3,51.166666666666664
13519,7459964,817.2105263157895,10,9,44.78947368421053
13520,7459980,836.2,6,4,52.4
13521,7460001,826.75,4,4,48.5
13522,7460687,757.6,1,4,41.6
13523,7461883,749.1428571428571,2,5,44.57142857142857
13524,7469306,711.0,4,4,34.5
13525,7471326,778.5,3,11,49.5
13526,7471916,720.8,4,1,39.0
13527,7472333,843.7272727272727,6,5,44.0
13528,7472338,825.8666666666667,8,7,41.4
13529,7472700,847.0,1,2,46.0
13530,7474402,751.0,3,4,27.857142857142858
13531,7483316,740.25,1,3,25.0
13532,7485306,842.4,2,3,48.4
13533,7485924,779.9375,23,25,42.145833333333336
13534,7487155,773.6666666666666,12,27,48.51282051282051
13535,7491330,723.7,4,6,38.9
13536,7494973,792.6153846153846,9,4,47.46153846153846
13537,7496882,774.6666666666666,3,3,46.166666666666664
13538,7497532,746.6666666666666,2,4,48.333333333333336
13539,7498563,822.8947368421053,10,9,43.578947368421055
13540,7498944,811.0,1,1,45.5
13541,7504762,827.1176470588235,11,6,49.76470588235294
13542,7507060,798.0,8,10,72.0
13543,7510289,847.0,3,1,32.25
13544,7510924,813.6842105263158,13,6,40.1578947368421
13545,7508770,804.9166666666666,2,10,57.083333333333336
13546,7524754,730.5,2,12,48.642857142857146
13547,7531984,847.0,4,4,41.125
13548,7195474,807.125,6,2,45.625
13549,7200213,768.7142857142857,2,5,31.714285714285715
13550,7289723,768.0,13,8,42.42857142857143
13551,7305493,702.4,2,3,32.6
13552,7317211,763.1034482758621,12,17,39.96551724137931
13553,7317819,741.5428571428571,17,18,39.8
13554,7317894,729.6,7,3,45.2
13555,7318622,718.8465346534654,73,129,41.78217821782178
13556,7332456,835.25,10,2,45.583333333333336
